"","Unit","Female","Infant","Date.birth","Event.end","Date.end","Time.to.swell","Date.takeover","Dataset","Month","Time1","Time2","Swelling","Takeover.fix","Takeover.timevarying","Sex.infant","Parity","Avg.temperature","Cumulative.rainfall","Season","Rainfall.cat","Temperature.cat"
"160","A","F12","F10","2019-07-24","no swelling yet",NA,NA,NA,"conservative",1,0,1,0,0,0,"F","multi",8.32666666666667,874.27,"ColdWet","Wet","Cold"
"162","A","F12","F10","2019-07-24","no swelling yet",NA,NA,NA,"conservative",2,1,2,0,0,0,"F","multi",9.66774193548387,1211.97,"ColdWet","Wet","Cold"
"164","A","F12","F10","2019-07-24","no swelling yet",NA,NA,NA,"conservative",3,2,3,0,0,0,"F","multi",9.09032258064516,1067.5,"ColdWet","Wet","Cold"
"161","A","F12","F10","2019-07-24","no swelling yet",NA,NA,NA,"conservative",4,3,4,0,0,0,"F","multi",8.38,886.516666667,"ColdDry","Dry","Cold"
"163","A","F12","F10","2019-07-24","no swelling yet",NA,NA,NA,"conservative",5,4,5,0,0,0,"F","multi",7.52258064516129,627.466666667,"ColdDry","Dry","Cold"
"158","A","F12","F10","2019-07-24","no swelling yet",NA,NA,NA,"conservative",6,5,6,0,0,0,"F","multi",6.10333333333333,454.566666667,"ColdDry","Dry","Cold"
"159","A","F12","F10","2019-07-24","no swelling yet",NA,NA,NA,"conservative",7,6,7,0,0,0,"F","multi",5.34838709677419,252.05,"ColdDry","Dry","Cold"
"165","A","F12","F10","2019-07-24","no swelling yet",NA,NA,NA,"conservative",8,7,8,0,0,0,"F","multi",6.25483870967742,65.1,"HotDry","Dry","Hot"
"1582","H","F102","F104","2007-01-01","mother swells","2007-04-11",3.27868852459016,"2007-02-26","conservative",1,0,1,0,1,0,"F","multi",5.58709677419355,115.9,"ColdDry","Dry","Cold"
"1585","H","F102","F104","2007-01-01","mother swells","2007-04-11",3.27868852459016,"2007-02-26","conservative",2,1,2,0,1,1,"F","multi",6.15483870967742,21.8,"HotDry","Dry","Hot"
"1583","H","F102","F104","2007-01-01","mother swells","2007-04-11",3.27868852459016,"2007-02-26","conservative",3,2,3,0,1,1,"F","multi",7.375,2,"HotDry","Dry","Hot"
"1584","H","F102","F104","2007-01-01","mother swells","2007-04-11",3.27868852459016,"2007-02-26","conservative",4,3,4,1,1,1,"F","multi",8.53225806451613,22,"HotDry","Dry","Hot"
"1500","H1","F96","F106","2009-10-15","mother swells","2011-06-18",20.0327868852459,NA,"conservative",1,0,1,0,0,0,"F","multi",8.05,635.2,"ColdDry","Dry","Cold"
"1498","H1","F96","F106","2009-10-15","mother swells","2011-06-18",20.0327868852459,NA,"conservative",2,1,2,0,0,0,"F","multi",7.24516129032258,411.9,"ColdDry","Dry","Cold"
"1491","H1","F96","F106","2009-10-15","mother swells","2011-06-18",20.0327868852459,NA,"conservative",3,2,3,0,0,0,"F","multi",7.07,152.9,"ColdDry","Dry","Cold"
"1489","H1","F96","F106","2009-10-15","mother swells","2011-06-18",20.0327868852459,NA,"conservative",4,3,4,0,0,0,"F","multi",6.21612903225806,56.9,"ColdDry","Dry","Cold"
"1499","H1","F96","F106","2009-10-15","mother swells","2011-06-18",20.0327868852459,NA,"conservative",5,4,5,0,0,0,"F","multi",7.73548387096774,48.7,"HotDry","Dry","Hot"
"1485","H1","F96","F106","2009-10-15","mother swells","2011-06-18",20.0327868852459,NA,"conservative",6,5,6,0,0,0,"F","multi",8.475,34.8,"HotDry","Dry","Hot"
"1493","H1","F96","F106","2009-10-15","mother swells","2011-06-18",20.0327868852459,NA,"conservative",7,6,7,0,0,0,"F","multi",9.47741935483871,140,"HotDry","Dry","Hot"
"1480","H1","F96","F106","2009-10-15","mother swells","2011-06-18",20.0327868852459,NA,"conservative",8,7,8,0,0,0,"F","multi",9.21333333333333,221.8,"HotDry","Dry","Hot"
"1497","H1","F96","F106","2009-10-15","mother swells","2011-06-18",20.0327868852459,NA,"conservative",9,8,9,0,0,0,"F","multi",9.36129032258065,445.8,"ColdWet","Wet","Cold"
"1488","H1","F96","F106","2009-10-15","mother swells","2011-06-18",20.0327868852459,NA,"conservative",10,9,10,0,0,0,"F","multi",8.64666666666667,944.15,"ColdWet","Wet","Cold"
"1484","H1","F96","F106","2009-10-15","mother swells","2011-06-18",20.0327868852459,NA,"conservative",11,10,11,0,0,0,"F","multi",8.03225806451613,1459.2,"ColdWet","Wet","Cold"
"1481","H1","F96","F106","2009-10-15","mother swells","2011-06-18",20.0327868852459,NA,"conservative",12,11,12,0,0,0,"F","multi",8.18387096774194,1628.3,"ColdWet","Wet","Cold"
"1487","H1","F96","F106","2009-10-15","mother swells","2011-06-18",20.0327868852459,NA,"conservative",13,12,13,0,0,0,"F","multi",8.17,1201.72,"ColdDry","Dry","Cold"
"1496","H1","F96","F106","2009-10-15","mother swells","2011-06-18",20.0327868852459,NA,"conservative",14,13,14,0,0,0,"F","multi",7.84516129032258,675.57,"ColdDry","Dry","Cold"
"1490","H1","F96","F106","2009-10-15","mother swells","2011-06-18",20.0327868852459,NA,"conservative",15,14,15,0,0,0,"F","multi",6.54,276.37,"ColdDry","Dry","Cold"
"1486","H1","F96","F106","2009-10-15","mother swells","2011-06-18",20.0327868852459,NA,"conservative",16,15,16,0,0,0,"F","multi",6.82903225806452,99.4,"ColdDry","Dry","Cold"
"1495","H1","F96","F106","2009-10-15","mother swells","2011-06-18",20.0327868852459,NA,"conservative",17,16,17,0,0,0,"F","multi",7.15483870967742,0,"HotDry","Dry","Hot"
"1482","H1","F96","F106","2009-10-15","mother swells","2011-06-18",20.0327868852459,NA,"conservative",18,17,18,0,0,0,"F","multi",8.75357142857143,0,"HotDry","Dry","Hot"
"1492","H1","F96","F106","2009-10-15","mother swells","2011-06-18",20.0327868852459,NA,"conservative",19,18,19,0,0,0,"F","multi",8.65806451612903,54.1,"HotDry","Dry","Hot"
"1494","H1","F96","F106","2009-10-15","mother swells","2011-06-18",20.0327868852459,NA,"conservative",20,19,20,0,0,0,"F","multi",8.14,223.1,"HotDry","Dry","Hot"
"1483","H1","F96","F106","2009-10-15","mother swells","2011-06-18",20.0327868852459,NA,"conservative",21,20,21,1,0,0,"F","multi",8.7741935483871,599.2,"ColdWet","Wet","Cold"
"1572","H","F100","F107","2008-02-05","mother swells","2008-05-16",3.31147540983607,"2008-03-26","conservative",1,0,1,0,1,0,"F","multi",6.91935483870968,26.6,"HotDry","Dry","Hot"
"1561","H","F100","F107","2008-02-05","mother swells","2008-05-16",3.31147540983607,"2008-03-26","conservative",2,1,2,0,1,1,"F","multi",7.24137931034483,3.6,"HotDry","Dry","Hot"
"1555","H","F100","F107","2008-02-05","mother swells","2008-05-16",3.31147540983607,"2008-03-26","conservative",3,2,3,0,1,1,"F","multi",9.17741935483871,63.6,"HotDry","Dry","Hot"
"1566","H","F100","F107","2008-02-05","mother swells","2008-05-16",3.31147540983607,"2008-03-26","conservative",4,3,4,1,1,1,"F","multi",9.59333333333333,167.1,"HotDry","Dry","Hot"
"1655","J","F110","F108","2013-03-28","mother swells","2014-10-27",18.9508196721311,"2014-10-24","conservative",1,0,1,0,1,0,"F","multi",9.50357142857143,16.2,"HotDry","Dry","Hot"
"1670","J","F110","F108","2013-03-28","mother swells","2014-10-27",18.9508196721311,"2014-10-24","conservative",2,1,2,0,1,0,"F","multi",9.46451612903226,51.4,"HotDry","Dry","Hot"
"1646","J","F110","F108","2013-03-28","mother swells","2014-10-27",18.9508196721311,"2014-10-24","conservative",3,2,3,0,1,0,"F","multi",9.73666666666667,146.2,"HotDry","Dry","Hot"
"1654","J","F110","F108","2013-03-28","mother swells","2014-10-27",18.9508196721311,"2014-10-24","conservative",4,3,4,0,1,0,"F","multi",8.83548387096774,388.8,"ColdWet","Wet","Cold"
"1656","J","F110","F108","2013-03-28","mother swells","2014-10-27",18.9508196721311,"2014-10-24","conservative",5,4,5,0,1,0,"F","multi",7.94,1549.2,"ColdWet","Wet","Cold"
"1679","J","F110","F108","2013-03-28","mother swells","2014-10-27",18.9508196721311,"2014-10-24","conservative",6,5,6,0,1,0,"F","multi",7.90645161290323,1864.3,"ColdWet","Wet","Cold"
"1681","J","F110","F108","2013-03-28","mother swells","2014-10-27",18.9508196721311,"2014-10-24","conservative",7,6,7,0,1,0,"F","multi",7.91290322580645,1880.2,"ColdWet","Wet","Cold"
"1677","J","F110","F108","2013-03-28","mother swells","2014-10-27",18.9508196721311,"2014-10-24","conservative",8,7,8,0,1,0,"F","multi",7.33,825.7,"ColdDry","Dry","Cold"
"1660","J","F110","F108","2013-03-28","mother swells","2014-10-27",18.9508196721311,"2014-10-24","conservative",9,8,9,0,1,0,"F","multi",6.92903225806452,460.1,"ColdDry","Dry","Cold"
"1653","J","F110","F108","2013-03-28","mother swells","2014-10-27",18.9508196721311,"2014-10-24","conservative",10,9,10,0,1,0,"F","multi",5.90666666666667,185.4,"ColdDry","Dry","Cold"
"1674","J","F110","F108","2013-03-28","mother swells","2014-10-27",18.9508196721311,"2014-10-24","conservative",11,10,11,0,1,0,"F","multi",7.10645161290323,44.3,"ColdDry","Dry","Cold"
"1648","J","F110","F108","2013-03-28","mother swells","2014-10-27",18.9508196721311,"2014-10-24","conservative",12,11,12,0,1,0,"F","multi",7.51612903225806,0,"HotDry","Dry","Hot"
"1652","J","F110","F108","2013-03-28","mother swells","2014-10-27",18.9508196721311,"2014-10-24","conservative",13,12,13,0,1,0,"F","multi",8.28928571428571,87.4,"HotDry","Dry","Hot"
"1651","J","F110","F108","2013-03-28","mother swells","2014-10-27",18.9508196721311,"2014-10-24","conservative",14,13,14,0,1,0,"F","multi",9.21612903225807,134.4,"HotDry","Dry","Hot"
"1671","J","F110","F108","2013-03-28","mother swells","2014-10-27",18.9508196721311,"2014-10-24","conservative",15,14,15,0,1,0,"F","multi",9.18,495.9,"HotDry","Dry","Hot"
"1666","J","F110","F108","2013-03-28","mother swells","2014-10-27",18.9508196721311,"2014-10-24","conservative",16,15,16,0,1,0,"F","multi",8.72903225806452,818,"ColdWet","Wet","Cold"
"1647","J","F110","F108","2013-03-28","mother swells","2014-10-27",18.9508196721311,"2014-10-24","conservative",17,16,17,0,1,0,"F","multi",7.91666666666667,1120,"ColdWet","Wet","Cold"
