"","Unit","Female","Infant","Date.birth","Event.end","Date.end","Time.to.swell","Sex.infant","Parity","Takeover.before.swelling","Date.takeover","ID.takeover","Age.takeover","Dataset"
"1","A","F7","F8","2008-02-16","mother swells","2009-04-30",14.3934426229508,"F","primi","Takeover","2009-04-15","TO1",13.9016393442623,"conservative"
"2","M","F160","F159","2007-07-12","mother swells","2008-05-03",9.70491803278689,"F","multi","Takeover","2008-04-21","TO2",9.31147540983607,"conservative"
"3","D","F67","M37","2016-04-18","mother swells","2017-02-26",10.2950819672131,"M","multi","Takeover","2017-02-05","TO4",9.60655737704918,"conservative"
"4","D","F68","M46","2016-03-05","mother swells","2017-02-28",11.8032786885246,"M","multi","Takeover","2017-02-05","TO4",11.0491803278689,"conservative"
"5","D","F71","F65","2015-12-25","mother swells","2017-02-26",14.0655737704918,"F","multi","Takeover","2017-02-05","TO4",13.3770491803279,"conservative"
"6","D","F74","M49","2016-02-26","mother swells","2017-02-26",12,"M","primi","Takeover","2017-02-05","TO4",11.3114754098361,"conservative"
"7","D","F63","M48","2016-03-28","mother swells","2017-02-28",11.0491803278689,"M","primi","Takeover","2017-02-05","TO4",10.2950819672131,"conservative"
"8","D","F69","M36","2016-06-06","mother swells","2017-02-26",8.68852459016393,"M","multi","Takeover","2017-02-05","TO4",8,"conservative"
"9","D","F73","F77","2016-02-25","mother swells","2017-02-26",12.0327868852459,"F","primi","Takeover","2017-02-05","TO4",11.344262295082,"conservative"
"10","D","F69","F62","2013-06-24","mother swells","2015-03-24",20.9180327868852,"F","multi","Takeover","2015-03-19","TO5",20.7540983606557,"conservative"
"11","D","F68","F71","2007-05-25","mother swells","2008-06-17",12.7540983606557,"F","primi","Takeover","2008-06-17","TO6",12.7540983606557,"uncertain"
"12","A","F4","F13","2011-09-25","mother swells","2013-03-09",17.4098360655738,"F","multi","Takeover","2013-03-01","TO7",17.1475409836066,"uncertain"
"13","A","F7","M2","2011-12-28","mother swells","2013-03-09",14.327868852459,"M","multi","Takeover","2013-03-01","TO7",14.0655737704918,"uncertain"
"14","C3","F38","F59","2009-04-11","mother swells","2011-01-31",21.6393442622951,"F","primi","Takeover","2011-01-29","TO8",21.5737704918033,"conservative"
"15","O","F182","M108","2013-08-15","mother swells","2014-05-26",9.31147540983607,"M","primi","Takeover","2013-03-28","TO9",-4.59016393442623,"conservative"
"16","N","F176","M99","2014-11-12","mother swells","2016-04-21",17.2459016393443,"M","primi","Takeover","2016-04-15","TO10",17.0491803278689,"uncertain"
"17","N","F173","M97","2015-07-30","mother swells","2016-06-21",10.7213114754098,"M","multi","Takeover","2016-04-15","TO10",8.52459016393443,"conservative"
"18","N","F174","F177","2015-03-05","mother swells","2016-06-21",15.5409836065574,"F","multi","Takeover","2016-04-15","TO10",13.344262295082,"conservative"
"19","N","F180","F179","2014-11-12","mother swells","2016-04-21",17.2459016393443,"F","multi","Takeover","2016-04-15","TO10",17.0491803278689,"uncertain"
"20","L","F130","F128","2011-06-03","mother swells","2011-12-09",6.19672131147541,"F","multi","Takeover","2011-10-30","TO11",4.88524590163934,"conservative"
"21","L","F125","F123","2010-09-28","mother swells","2011-11-23",13.8032786885246,"F","multi","Takeover","2011-10-30","TO11",13.016393442623,"uncertain"
"22","J","F110","F108","2013-03-28","mother swells","2014-10-27",18.9508196721311,"F","multi","Takeover","2014-10-24","TO12",18.8524590163934,"conservative"
"23","Z","F252","F247","2013-11-15","mother swells","2014-06-02",6.52459016393443,"F","multi","Takeover","2014-05-27","TO13",6.32786885245902,"conservative"
"24","Z","F255","F260","2013-11-05","mother swells","2014-06-02",6.85245901639344,"F","multi","Takeover","2014-05-27","TO13",6.65573770491803,"conservative"
"25","H","F102","F104","2007-01-01","mother swells","2007-04-11",3.27868852459016,"F","multi","Takeover","2007-02-26","TO17",1.83606557377049,"conservative"
"26","H","F103","M114","2007-01-01","mother swells","2007-07-14",6.36065573770492,"M","multi","Takeover","2007-02-26","TO17",1.83606557377049,"conservative"
"27","H","F97","M115","2006-12-04","mother swells","2007-04-11",4.19672131147541,"M","multi","Takeover","2007-02-26","TO17",2.75409836065574,"conservative"
