"","Unit","Female","Infant","Date.swelling","Date.nextconception","Time.to.conception","Date.takeover","Dataset","Month","Time1","Time2","Conception","Takeover.fix","Sex.infant","Parity","Avg.temperature","Cumulative.rainfall","Season","Rainfall.cat","Temperature.cat"
"368","K","F118","F113",2018-02-17,2018-05-23,3.11475409836066,NA,"conservative",1,0,1,0,0,"F","multi",7.57096774193548,0,"HotDry","Dry","Hot"
"370","K","F118","F113",2018-02-17,2018-05-23,3.11475409836066,NA,"conservative",2,1,2,0,0,"F","multi",7.72142857142857,2.2,"HotDry","Dry","Hot"
"367","K","F118","F113",2018-02-17,2018-05-23,3.11475409836066,NA,"conservative",3,2,3,0,0,"F","multi",8.6258064516129,28.1,"HotDry","Dry","Hot"
"369","K","F118","F113",2018-02-17,2018-05-23,3.11475409836066,NA,"conservative",4,3,4,1,0,"F","multi",10.0966666666667,98.6,"HotDry","Dry","Hot"
"363","K","F114","F116",2014-04-05,2015-04-11,12.1639344262295,"2014-03-24","conservative",1,0,1,0,1,"F","multi",8.43548387096774,87.4,"HotDry","Dry","Hot"
"360","K","F114","F116",2014-04-05,2015-04-11,12.1639344262295,"2014-03-24","conservative",2,1,2,0,1,"F","multi",9.13666666666667,173.9,"HotDry","Dry","Hot"
"354","K","F114","F116",2014-04-05,2015-04-11,12.1639344262295,"2014-03-24","conservative",3,2,3,0,1,"F","multi",9.3258064516129,509.2,"ColdWet","Wet","Cold"
"364","K","F114","F116",2014-04-05,2015-04-11,12.1639344262295,"2014-03-24","conservative",4,3,4,0,1,"F","multi",8.56666666666667,864.5,"ColdWet","Wet","Cold"
"361","K","F114","F116",2014-04-05,2015-04-11,12.1639344262295,"2014-03-24","conservative",5,4,5,0,1,"F","multi",7.80322580645161,1210,"ColdWet","Wet","Cold"
"358","K","F114","F116",2014-04-05,2015-04-11,12.1639344262295,"2014-03-24","conservative",6,5,6,0,1,"F","multi",8.48709677419355,1268,"ColdWet","Wet","Cold"
"353","K","F114","F116",2014-04-05,2015-04-11,12.1639344262295,"2014-03-24","conservative",7,6,7,0,1,"F","multi",7.81666666666667,1057,"ColdDry","Dry","Cold"
"356","K","F114","F116",2014-04-05,2015-04-11,12.1639344262295,"2014-03-24","conservative",8,7,8,0,1,"F","multi",7.33870967741935,679.3,"ColdDry","Dry","Cold"
"362","K","F114","F116",2014-04-05,2015-04-11,12.1639344262295,"2014-03-24","conservative",9,8,9,0,1,"F","multi",6.92333333333333,272.3,"ColdDry","Dry","Cold"
"355","K","F114","F116",2014-04-05,2015-04-11,12.1639344262295,"2014-03-24","conservative",10,9,10,0,1,"F","multi",6.06129032258065,72.8,"ColdDry","Dry","Cold"
"357","K","F114","F116",2014-04-05,2015-04-11,12.1639344262295,"2014-03-24","conservative",11,10,11,0,1,"F","multi",7.10967741935484,18.5,"HotDry","Dry","Hot"
"359","K","F114","F116",2014-04-05,2015-04-11,12.1639344262295,"2014-03-24","conservative",12,11,12,0,1,"F","multi",9.39642857142857,2,"HotDry","Dry","Hot"
