"","Unit","Female","Infant","Event.end","Date.end","Date.nextconception","Time.to.conception","Sex.infant","Parity","Takeover.before18mos","Date.takeover","ID.takeover","Age.takeover","Dataset"
"1","A","F7","F8","mother swells","2009-04-30","2010-03-12",10.3606557377049,"F","primi","Takeover","2009-04-15","TO1",13.9016393442623,"conservative"
"2","D","F68","F71","mother swells","2008-06-17","2009-03-04",8.52459016393443,"F","primi","Takeover","2008-06-17","TO6",12.7540983606557,"uncertain"
"3","A","F7","M2","mother swells","2013-03-09","2013-09-06",5.9344262295082,"M","multi","Takeover","2013-03-01","TO7",14.0655737704918,"uncertain"
"4","A","F4","F13","mother swells","2013-03-09","2013-08-27",5.60655737704918,"F","multi","Takeover","2013-03-01","TO7",17.1475409836066,"uncertain"
"5","N","F174","F177","mother swells","2016-06-21","2017-05-15",10.7540983606557,"F","multi","Takeover","2016-04-15","TO10",13.344262295082,"conservative"
"6","N","F180","F179","mother swells","2016-04-21","2017-03-06",10.4590163934426,"F","multi","Takeover","2016-04-15","TO10",17.0491803278689,"uncertain"
"7","N","F173","M97","mother swells","2016-06-21","2016-12-01",5.34426229508197,"M","multi","Takeover","2016-04-15","TO10",8.52459016393443,"conservative"
"8","N","F176","M99","mother swells","2016-04-21","2016-12-01",7.34426229508197,"M","primi","Takeover","2016-04-15","TO10",17.0491803278689,"uncertain"
"9","B","F20","M28","mother swells","2006-05-12","2006-05-13",0.0327868852459016,"M","multi","Takeover","2006-04-17","TO16",16,"conservative"
"10","B","F35","M84","mother swells","2006-05-17","2007-01-15",7.9672131147541,"M","multi","Takeover","2006-04-17","TO16",16,"conservative"
"11","B","F31","F29","mother swells","2006-09-09","2006-11-05",1.86885245901639,"F","multi","Takeover","2006-04-17","TO16",4.49180327868852,"conservative"
"12","B","F18","F26","mother swells","2009-09-18","2010-03-30",6.32786885245902,"F","primi","Takeover","2009-07-24","TO20",5.18032786885246,"conservative"
"13","C3","F43","M20","mother swells","2013-11-25","2015-04-15",16.5901639344262,"M","multi","Takeover","2013-09-05","TO23",7.18032786885246,"conservative"
"14","C3","F46","M21","mother swells","2013-09-13","2013-12-12",2.95081967213115,"M","primi","Takeover","2013-09-05","TO23",5.63934426229508,"conservative"
"15","R","F194","F193","mother swells","2006-05-23","2007-07-15",13.7049180327869,"F","multi","Takeover","2006-01-31","TO27",13.5081967213115,"conservative"
"16","K","F114","F116","mother swells","2014-04-05","2015-04-11",12.1639344262295,"F","multi","Takeover","2014-03-24","TO28",16.3606557377049,"conservative"
"17","J","F110","M77","mother swells","2011-04-18","2012-09-26",17.2786885245902,"M","multi","Takeover","2011-03-24","TO34",16.0655737704918,"conservative"
"18","A","F4","M7","mother swells","2015-04-03","2015-05-27",1.77049180327869,"M","multi","Takeover","2015-03-18","TO41",12.6229508196721,"conservative"
"19","M1","F148","F156","mother swells","2013-06-05","2014-03-03",8.88524590163934,"F","multi","Takeover","2013-02-25","TO44",2.75409836065574,"conservative"
"20","M1","F163","M92","mother swells","2013-06-19","2014-06-08",11.6065573770492,"M","multi","Takeover","2013-02-25","TO44",3.90163934426229,"conservative"
"21","A","F6","F3","mother swells","2016-05-31","2017-03-23",9.70491803278689,"F","primi","Takeover","2016-03-31","TO48",6,"conservative"
