"","Unit","Female","Infant","Date.birth","Date.nextbirth","IBI","Date.takeover","Dataset","Month","Time1","Time2","Birth","Takeover.fix","Takeover.timevarying","Sex.infant","Parity","Avg.temperature","Cumulative.rainfall","Season","Rainfall.cat","Temperature.cat"
"227","A","F12","F11",2017-07-27,2019-07-24,23.8360655737705,NA,"conservative",1,0,1,0,0,0,"F","primi",9.37666666666667,1050.9,"ColdWet","Wet","Cold"
"233","A","F12","F11",2017-07-27,2019-07-24,23.8360655737705,NA,"conservative",2,1,2,0,0,0,"F","primi",8.41290322580645,1278.6,"ColdWet","Wet","Cold"
"236","A","F12","F11",2017-07-27,2019-07-24,23.8360655737705,NA,"conservative",3,2,3,0,0,0,"F","primi",8.47741935483871,1131.2,"ColdWet","Wet","Cold"
"220","A","F12","F11",2017-07-27,2019-07-24,23.8360655737705,NA,"conservative",4,3,4,0,0,0,"F","primi",8.01666666666667,931.3,"ColdDry","Dry","Cold"
"219","A","F12","F11",2017-07-27,2019-07-24,23.8360655737705,NA,"conservative",5,4,5,0,0,0,"F","primi",7.31612903225806,485.8,"ColdDry","Dry","Cold"
"241","A","F12","F11",2017-07-27,2019-07-24,23.8360655737705,NA,"conservative",6,5,6,0,0,0,"F","primi",6.21,297.8,"ColdDry","Dry","Cold"
"231","A","F12","F11",2017-07-27,2019-07-24,23.8360655737705,NA,"conservative",7,6,7,0,0,0,"F","primi",6.48387096774194,27.6,"ColdDry","Dry","Cold"
"235","A","F12","F11",2017-07-27,2019-07-24,23.8360655737705,NA,"conservative",8,7,8,0,0,0,"F","primi",7.85161290322581,2.2,"HotDry","Dry","Hot"
"225","A","F12","F11",2017-07-27,2019-07-24,23.8360655737705,NA,"conservative",9,8,9,0,0,0,"F","primi",8.17857142857143,5.2,"HotDry","Dry","Hot"
"223","A","F12","F11",2017-07-27,2019-07-24,23.8360655737705,NA,"conservative",10,9,10,0,0,0,"F","primi",8.75161290322581,63.1,"HotDry","Dry","Hot"
"239","A","F12","F11",2017-07-27,2019-07-24,23.8360655737705,NA,"conservative",11,10,11,0,0,0,"F","primi",10.0433333333333,134.9,"HotDry","Dry","Hot"
"230","A","F12","F11",2017-07-27,2019-07-24,23.8360655737705,NA,"conservative",12,11,12,0,0,0,"F","primi",8.64838709677419,490.7,"ColdWet","Wet","Cold"
"242","A","F12","F11",2017-07-27,2019-07-24,23.8360655737705,NA,"conservative",13,12,13,0,0,0,"F","primi",8.20666666666667,874.9,"ColdWet","Wet","Cold"
"224","A","F12","F11",2017-07-27,2019-07-24,23.8360655737705,NA,"conservative",14,13,14,0,0,0,"F","primi",7.86451612903226,1237.8,"ColdWet","Wet","Cold"
"240","A","F12","F11",2017-07-27,2019-07-24,23.8360655737705,NA,"conservative",15,14,15,0,0,0,"F","primi",8.13870967741935,1116.6,"ColdWet","Wet","Cold"
"226","A","F12","F11",2017-07-27,2019-07-24,23.8360655737705,NA,"conservative",16,15,16,0,0,0,"F","primi",8.34333333333333,830,"ColdDry","Dry","Cold"
"232","A","F12","F11",2017-07-27,2019-07-24,23.8360655737705,NA,"conservative",17,16,17,0,0,0,"F","primi",7.73548387096774,453.1,"ColdDry","Dry","Cold"
"237","A","F12","F11",2017-07-27,2019-07-24,23.8360655737705,NA,"conservative",18,17,18,0,0,0,"F","primi",7.54666666666667,223.9,"ColdDry","Dry","Cold"
"222","A","F12","F11",2017-07-27,2019-07-24,23.8360655737705,NA,"conservative",19,18,19,0,0,0,"F","primi",6.78064516129032,68.4,"ColdDry","Dry","Cold"
"238","A","F12","F11",2017-07-27,2019-07-24,23.8360655737705,NA,"conservative",20,19,20,0,0,0,"F","primi",8.85161290322581,10.6,"HotDry","Dry","Hot"
"234","A","F12","F11",2017-07-27,2019-07-24,23.8360655737705,NA,"conservative",21,20,21,0,0,0,"F","primi",11.2035714285714,17.2,"HotDry","Dry","Hot"
"228","A","F12","F11",2017-07-27,2019-07-24,23.8360655737705,NA,"conservative",22,21,22,0,0,0,"F","primi",10.6096774193548,66.4,"HotDry","Dry","Hot"
"229","A","F12","F11",2017-07-27,2019-07-24,23.8360655737705,NA,"conservative",23,22,23,0,0,0,"F","primi",8.36666666666667,208.6,"HotDry","Dry","Hot"
"221","A","F12","F11",2017-07-27,2019-07-24,23.8360655737705,NA,"conservative",24,23,24,1,0,0,"F","primi",7.59354838709677,558.57,"ColdWet","Wet","Cold"
"1401","K","F118","F113",2016-10-12,2018-11-22,25.2786885245902,NA,"conservative",1,0,1,0,0,0,"F","multi",9.3,1214.35,"ColdDry","Dry","Cold"
"1369","K","F118","F113",2016-10-12,2018-11-22,25.2786885245902,NA,"conservative",2,1,2,0,0,0,"F","multi",7.95806451612903,763.35,"ColdDry","Dry","Cold"
"1360","K","F118","F113",2016-10-12,2018-11-22,25.2786885245902,NA,"conservative",3,2,3,0,0,0,"F","multi",7.42666666666667,441.35,"ColdDry","Dry","Cold"
"1388","K","F118","F113",2016-10-12,2018-11-22,25.2786885245902,NA,"conservative",4,3,4,0,0,0,"F","multi",6.98709677419355,99.1,"ColdDry","Dry","Cold"
"1367","K","F118","F113",2016-10-12,2018-11-22,25.2786885245902,NA,"conservative",5,4,5,0,0,0,"F","multi",8.34516129032258,8,"HotDry","Dry","Hot"
"1392","K","F118","F113",2016-10-12,2018-11-22,25.2786885245902,NA,"conservative",6,5,6,0,0,0,"F","multi",8.56428571428571,69.8,"HotDry","Dry","Hot"
"1382","K","F118","F113",2016-10-12,2018-11-22,25.2786885245902,NA,"conservative",7,6,7,0,0,0,"F","multi",9.7,87.1,"HotDry","Dry","Hot"
"1387","K","F118","F113",2016-10-12,2018-11-22,25.2786885245902,NA,"conservative",8,7,8,0,0,0,"F","multi",9.53333333333333,298,"HotDry","Dry","Hot"
"1359","K","F118","F113",2016-10-12,2018-11-22,25.2786885245902,NA,"conservative",9,8,9,0,0,0,"F","multi",9.52258064516129,529.1,"ColdWet","Wet","Cold"
"1405","K","F118","F113",2016-10-12,2018-11-22,25.2786885245902,NA,"conservative",10,9,10,0,0,0,"F","multi",9.57666666666667,824.5,"ColdWet","Wet","Cold"
"1377","K","F118","F113",2016-10-12,2018-11-22,25.2786885245902,NA,"conservative",11,10,11,0,0,0,"F","multi",8.81612903225806,1158.4,"ColdWet","Wet","Cold"
"1385","K","F118","F113",2016-10-12,2018-11-22,25.2786885245902,NA,"conservative",12,11,12,0,0,0,"F","multi",8.25483870967742,1253.8,"ColdWet","Wet","Cold"
"1386","K","F118","F113",2016-10-12,2018-11-22,25.2786885245902,NA,"conservative",13,12,13,0,0,0,"F","multi",8.26333333333333,1041.3,"ColdDry","Dry","Cold"
"1362","K","F118","F113",2016-10-12,2018-11-22,25.2786885245902,NA,"conservative",14,13,14,0,0,0,"F","multi",7.62903225806452,719,"ColdDry","Dry","Cold"
"1364","K","F118","F113",2016-10-12,2018-11-22,25.2786885245902,NA,"conservative",15,14,15,0,0,0,"F","multi",7.07,330.7,"ColdDry","Dry","Cold"
"1376","K","F118","F113",2016-10-12,2018-11-22,25.2786885245902,NA,"conservative",16,15,16,0,0,0,"F","multi",5.99677419354839,230.5,"ColdDry","Dry","Cold"
"1381","K","F118","F113",2016-10-12,2018-11-22,25.2786885245902,NA,"conservative",17,16,17,0,0,0,"F","multi",7.07741935483871,0,"HotDry","Dry","Hot"
"1403","K","F118","F113",2016-10-12,2018-11-22,25.2786885245902,NA,"conservative",18,17,18,0,0,0,"F","multi",7.88928571428571,2.2,"HotDry","Dry","Hot"
"1357","K","F118","F113",2016-10-12,2018-11-22,25.2786885245902,NA,"conservative",19,18,19,0,0,0,"F","multi",8.4,28.1,"HotDry","Dry","Hot"
"1384","K","F118","F113",2016-10-12,2018-11-22,25.2786885245902,NA,"conservative",20,19,20,0,0,0,"F","multi",9.84666666666667,98.6,"HotDry","Dry","Hot"
"1393","K","F118","F113",2016-10-12,2018-11-22,25.2786885245902,NA,"conservative",21,20,21,0,0,0,"F","multi",9.34838709677419,302.2,"ColdWet","Wet","Cold"
"1361","K","F118","F113",2016-10-12,2018-11-22,25.2786885245902,NA,"conservative",22,21,22,0,0,0,"F","multi",8.32,697.5,"ColdWet","Wet","Cold"
"1365","K","F118","F113",2016-10-12,2018-11-22,25.2786885245902,NA,"conservative",23,22,23,0,0,0,"F","multi",8.01290322580645,1009.4,"ColdWet","Wet","Cold"
"1363","K","F118","F113",2016-10-12,2018-11-22,25.2786885245902,NA,"conservative",24,23,24,0,0,0,"F","multi",8.03870967741936,1200.5,"ColdWet","Wet","Cold"
"1399","K","F118","F113",2016-10-12,2018-11-22,25.2786885245902,NA,"conservative",25,24,25,0,0,0,"F","multi",8.23333333333333,960.4,"ColdDry","Dry","Cold"
"1358","K","F118","F113",2016-10-12,2018-11-22,25.2786885245902,NA,"conservative",26,25,26,1,0,0,"F","multi",8.13870967741935,688.5,"ColdDry","Dry","Cold"
"1351","K","F114","F116",2012-11-10,2015-10-11,34.9180327868852,"2014-03-24","conservative",1,0,1,0,1,0,"F","multi",7.19677419354839,545.1,"ColdDry","Dry","Cold"
"1333","K","F114","F116",2012-11-10,2015-10-11,34.9180327868852,"2014-03-24","conservative",2,1,2,0,1,0,"F","multi",7.31,207.3,"ColdDry","Dry","Cold"
"1347","K","F114","F116",2012-11-10,2015-10-11,34.9180327868852,"2014-03-24","conservative",3,2,3,0,1,0,"F","multi",6.46451612903226,87.8,"ColdDry","Dry","Cold"
"1337","K","F114","F116",2012-11-10,2015-10-11,34.9180327868852,"2014-03-24","conservative",4,3,4,0,1,0,"F","multi",8.06451612903226,7.7,"HotDry","Dry","Hot"
