"","Unit","Female","Infant","Date.birth","Event.end","Date.end","Date.nextbirth","IBI","Sex.infant","Parity","Takeover.before18mos","Date.takeover","ID.takeover","Age.takeover","Dataset"
"1","A","F7","F8","2008-02-16","mother swells","2009-04-30","2010-09-11",30.7540983606557,"F","primi","Takeover","2009-04-15","TO1",13.9016393442623,"conservative"
"2","D","F68","F71","2007-05-25","mother swells","2008-06-17","2009-09-03",27.2786885245902,"F","primi","Takeover","2008-06-17","TO6",12.7540983606557,"uncertain"
"3","A","F4","F13","2011-09-25","mother swells","2013-03-09","2014-02-26",29.016393442623,"F","multi","Takeover","2013-03-01","TO7",17.1475409836066,"uncertain"
"4","A","F7","M2","2011-12-28","mother swells","2013-03-09","2014-03-08",26.2622950819672,"M","multi","Takeover","2013-03-01","TO7",14.0655737704918,"uncertain"
"5","N","F180","F179","2014-11-12","mother swells","2016-04-21","2017-09-05",33.7049180327869,"F","multi","Takeover","2016-04-15","TO10",17.0491803278689,"uncertain"
"6","N","F173","M97","2015-07-30","mother swells","2016-06-21","2017-06-02",22.0655737704918,"M","multi","Takeover","2016-04-15","TO10",8.52459016393443,"conservative"
"7","N","F176","M99","2014-11-12","mother swells","2016-04-21","2017-06-02",30.5901639344262,"M","primi","Takeover","2016-04-15","TO10",17.0491803278689,"uncertain"
"8","N","F174","F177","2015-03-05","mother swells","2016-06-21","2017-11-14",32.2950819672131,"F","multi","Takeover","2016-04-15","TO10",13.344262295082,"conservative"
"9","B","F18","F26","2009-02-16","mother swells","2009-09-18","2010-09-29",19.344262295082,"F","primi","Takeover","2009-07-24","TO20",5.18032786885246,"conservative"
"10","C3","F43","M20","2013-01-29","mother swells","2013-11-25","2015-10-15",32.4262295081967,"M","multi","Takeover","2013-09-05","TO23",7.18032786885246,"conservative"
"11","C3","F46","M21","2013-03-17","mother swells","2013-09-13","2014-06-13",14.8524590163934,"M","primi","Takeover","2013-09-05","TO23",5.63934426229508,"conservative"
"12","K","F114","F116","2012-11-10","mother swells","2014-04-05","2015-10-11",34.9180327868852,"F","multi","Takeover","2014-03-24","TO28",16.3606557377049,"conservative"
"13","J","F110","M77","2009-11-19","mother swells","2011-04-18","2013-03-28",40.1639344262295,"M","multi","Takeover","2011-03-24","TO34",16.0655737704918,"conservative"
"14","A","F4","M7","2014-02-26","mother swells","2015-04-03","2015-11-26",20.9180327868852,"M","multi","Takeover","2015-03-18","TO41",12.6229508196721,"conservative"
"15","M1","F163","M92","2012-10-29","mother swells","2013-06-19","2014-12-08",25.2459016393443,"M","multi","Takeover","2013-02-25","TO44",3.90163934426229,"conservative"
"16","M1","F148","F156","2012-12-03","mother swells","2013-06-05","2014-09-02",20.9180327868852,"F","multi","Takeover","2013-02-25","TO44",2.75409836065574,"conservative"
"17","A","F6","F3","2015-09-30","mother swells","2016-05-31","2017-09-22",23.7049180327869,"F","primi","Takeover","2016-03-31","TO48",6,"conservative"
"18","M","F155","F167","2009-02-01","mother swells","2010-04-15","2011-09-24",31.6393442622951,"F","multi","Takeover","2010-01-31","TO50",11.9344262295082,"conservative"
"19","M","F161","M41","2008-12-12","mother swells","2010-04-15","2011-11-04",34.655737704918,"M","primi","Takeover","2010-01-31","TO50",13.6065573770492,"conservative"
"20","M","F142","M88","2009-02-03","mother swells","2010-04-15","2011-11-18",33.3770491803279,"M","multi","Takeover","2010-01-31","TO50",11.8688524590164,"conservative"
"21","M","F148","M58","2009-01-08","mother swells","2010-02-15","2010-10-18",21.2459016393443,"M","multi","Takeover","2010-01-31","TO50",12.7213114754098,"conservative"
"22","M2","F135","F151","2012-06-05","mother swells","2013-08-15","2014-09-10",27.1147540983607,"F","primi","Takeover","2013-07-30","TO57",13.7704918032787,"conservative"
"23","M2","F161","F149","2012-08-07","mother swells","2013-08-15","2014-09-10",25.0491803278689,"F","multi","Takeover","2013-07-30","TO57",11.7049180327869,"conservative"
"24","B1","F21","F27","2012-01-27","mother swells","2013-04-24","2014-10-02",32.0983606557377,"F","primi","Takeover","2013-04-05","TO61",14.2295081967213,"conservative"
"25","C4","F50","M29","2013-10-30","mother swells","2014-10-15","2016-01-25",26.7868852459016,"M","multi","Takeover","2014-09-22","TO64",10.7213114754098,"conservative"
"26","C4","F41","M26","2014-02-23","mother swells","2014-10-17","2016-01-17",22.7213114754098,"M","multi","Takeover","2014-09-22","TO64",6.91803278688525,"conservative"
"27","T","F216","M133","2009-11-13","mother swells","2010-04-05","2011-09-17",22.0655737704918,"M","multi","Takeover","2009-08-08","TO65",-3.18032786885246,"conservative"
"28","C3","F43","F58","2011-09-21","mother swells","2012-03-28","2013-01-29",16.2622950819672,"F","multi","Takeover","2012-03-22","TO67",6,"conservative"
"29","T","F198","F210","2011-03-14","mother swells","2012-04-16","2013-08-31",29.5409836065574,"F","primi","Takeover","2012-03-13","TO70",11.9672131147541,"conservative"
"30","T","F215","F213","2011-10-31","mother swells","2012-04-16","2013-04-11",17.3114754098361,"F","multi","Takeover","2012-03-13","TO70",4.39344262295082,"conservative"
"31","T","F207","M66","2011-07-01","mother swells","2012-04-17","2014-08-02",36.9836065573771,"M","primi","Takeover","2012-03-13","TO70",8.39344262295082,"conservative"
"32","T","F211","M113","2011-09-05","mother swells","2012-04-16","2013-04-11",19.1475409836066,"M","multi","Takeover","2012-03-13","TO70",6.22950819672131,"conservative"
"33","T","F204","F219","2010-11-14","mother swells","2012-04-16","2013-04-27",29.344262295082,"F","multi","Takeover","2012-03-13","TO70",15.9016393442623,"conservative"
"34","A","F4","F6","2010-02-08","mother swells","2011-03-25","2011-09-25",19.4754098360656,"F","primi","No takeover",NA,NA,NA,"conservative"
"35","H1","F98","M104","2009-03-12","mother swells","2011-04-05","2011-12-05",32.7213114754098,"M","multi","No takeover",NA,NA,NA,"conservative"
"36","H1","F99","M61","2009-10-01","mother swells","2011-03-05","2011-10-24",24.6885245901639,"M","multi","No takeover",NA,NA,NA,"conservative"
"37","A","F6","M1","2017-09-22","mother swells","2019-07-08","2020-03-03",29.2786885245902,"M","multi","No takeover",NA,NA,NA,"conservative"
"38","R","F194","M128","2008-01-14","mother swells","2009-04-28","2010-08-26",31.3114754098361,"M","multi","No takeover",NA,NA,NA,"conservative"
"39","J1","F111","M75","2015-10-07","mother swells","2018-03-01","2018-11-21",37.4098360655738,"M","multi","No takeover",NA,NA,NA,"conservative"
"40","A","F7","F12","2010-09-11","mother swells","2011-06-27","2011-12-28",15.5081967213115,"F","multi","No takeover",NA,NA,NA,"conservative"
