"","Unit","Female","Infant","Date.birth","Event.end","Date.end","Date.death","Date.takeover","Dataset","Month","Time1","Time2","Death","Swelling","Age.takeover","Age.infant","Age.death","Sex.infant","Parity"
"1","A","F4","F1","2015-11-26","infant death","2016-05-01","2016-05-01","2016-03-31","conservative",1,0,1,0,0,4.13114754098361,4.13114754098361,5.14754098360656,"F","multi"
"2","A","F4","F1","2015-11-26","infant death","2016-05-01","2016-05-01","2016-03-31","conservative",2,1,2,1,0,4.13114754098361,5.11475409836066,5.14754098360656,"F","multi"
"469","H","F102","F104","2007-01-01","mother swells","2007-04-11","2011-12-01","2007-02-26","conservative",1,0,1,0,0,1.83606557377049,1.83606557377049,58.8524590163934,"F","multi"
"468","H","F102","F104","2007-01-01","mother swells","2007-04-11","2011-12-01","2007-02-26","conservative",2,1,2,0,1,1.83606557377049,2.75409836065574,58.8524590163934,"F","multi"
"466","H","F102","F104","2007-01-01","mother swells","2007-04-11","2011-12-01","2007-02-26","conservative",3,2,3,0,1,1.83606557377049,3.77049180327869,58.8524590163934,"F","multi"
"465","H","F102","F104","2007-01-01","mother swells","2007-04-11","2011-12-01","2007-02-26","conservative",4,3,4,0,1,1.83606557377049,4.75409836065574,58.8524590163934,"F","multi"
"470","H","F102","F104","2007-01-01","mother swells","2007-04-11","2011-12-01","2007-02-26","conservative",5,4,5,0,1,1.83606557377049,5.77049180327869,58.8524590163934,"F","multi"
"471","H","F102","F104","2007-01-01","mother swells","2007-04-11","2011-12-01","2007-02-26","conservative",6,5,6,0,1,1.83606557377049,6.75409836065574,58.8524590163934,"F","multi"
"474","H","F102","F104","2007-01-01","mother swells","2007-04-11","2011-12-01","2007-02-26","conservative",7,6,7,0,1,1.83606557377049,7.77049180327869,58.8524590163934,"F","multi"
"472","H","F102","F104","2007-01-01","mother swells","2007-04-11","2011-12-01","2007-02-26","conservative",8,7,8,0,1,1.83606557377049,8.78688524590164,58.8524590163934,"F","multi"
"476","H","F102","F104","2007-01-01","mother swells","2007-04-11","2011-12-01","2007-02-26","conservative",9,8,9,0,1,1.83606557377049,9.77049180327869,58.8524590163934,"F","multi"
"475","H","F102","F104","2007-01-01","mother swells","2007-04-11","2011-12-01","2007-02-26","conservative",10,9,10,0,1,1.83606557377049,10.7868852459016,58.8524590163934,"F","multi"
"473","H","F102","F104","2007-01-01","mother swells","2007-04-11","2011-12-01","2007-02-26","conservative",11,10,11,0,1,1.83606557377049,11.7704918032787,58.8524590163934,"F","multi"
"467","H","F102","F104","2007-01-01","mother swells","2007-04-11","2011-12-01","2007-02-26","conservative",12,11,12,0,1,1.83606557377049,12.7868852459016,58.8524590163934,"F","multi"
"463","H","F100","F107","2008-02-05","mother swells","2008-05-16","2008-05-20","2008-03-26","conservative",1,0,1,0,0,1.63934426229508,1.63934426229508,3.44262295081967,"F","multi"
"462","H","F100","F107","2008-02-05","mother swells","2008-05-16","2008-05-20","2008-03-26","conservative",2,1,2,1,1,1.63934426229508,2.65573770491803,3.44262295081967,"F","multi"
"502","K","F114","F116","2012-11-10","mother swells","2014-04-05",NA,"2014-03-24","conservative",1,0,1,0,1,16.3606557377049,16.3606557377049,NA,"F","multi"
"498","K","F114","F116","2012-11-10","mother swells","2014-04-05",NA,"2014-03-24","conservative",2,1,2,0,1,16.3606557377049,17.3770491803279,NA,"F","multi"
"503","K","F114","F116","2012-11-10","mother swells","2014-04-05",NA,"2014-03-24","conservative",3,2,3,0,1,16.3606557377049,18.3606557377049,NA,"F","multi"
"501","K","F114","F116","2012-11-10","mother swells","2014-04-05",NA,"2014-03-24","conservative",4,3,4,0,1,16.3606557377049,19.3770491803279,NA,"F","multi"
"497","K","F114","F116","2012-11-10","mother swells","2014-04-05",NA,"2014-03-24","conservative",5,4,5,0,1,16.3606557377049,20.3606557377049,NA,"F","multi"
"504","K","F114","F116","2012-11-10","mother swells","2014-04-05",NA,"2014-03-24","conservative",6,5,6,0,1,16.3606557377049,21.3770491803279,NA,"F","multi"
"500","K","F114","F116","2012-11-10","mother swells","2014-04-05",NA,"2014-03-24","conservative",7,6,7,0,1,16.3606557377049,22.3934426229508,NA,"F","multi"
"499","K","F114","F116","2012-11-10","mother swells","2014-04-05",NA,"2014-03-24","conservative",8,7,8,0,1,16.3606557377049,23.3770491803279,NA,"F","multi"
"506","L","F125","F123","2010-09-28","mother swells","2011-11-23",NA,"2011-10-30","uncertain",1,0,1,0,1,13.016393442623,13.016393442623,NA,"F","multi"
"511","L","F125","F123","2010-09-28","mother swells","2011-11-23",NA,"2011-10-30","uncertain",2,1,2,0,1,13.016393442623,14.0327868852459,NA,"F","multi"
"510","L","F125","F123","2010-09-28","mother swells","2011-11-23",NA,"2011-10-30","uncertain",3,2,3,0,1,13.016393442623,15.016393442623,NA,"F","multi"
"507","L","F125","F123","2010-09-28","mother swells","2011-11-23",NA,"2011-10-30","uncertain",4,3,4,0,1,13.016393442623,16.0327868852459,NA,"F","multi"
"514","L","F125","F123","2010-09-28","mother swells","2011-11-23",NA,"2011-10-30","uncertain",5,4,5,0,1,13.016393442623,17.016393442623,NA,"F","multi"
"516","L","F125","F123","2010-09-28","mother swells","2011-11-23",NA,"2011-10-30","uncertain",6,5,6,0,1,13.016393442623,18,NA,"F","multi"
"512","L","F125","F123","2010-09-28","mother swells","2011-11-23",NA,"2011-10-30","uncertain",7,6,7,0,1,13.016393442623,19.016393442623,NA,"F","multi"
"509","L","F125","F123","2010-09-28","mother swells","2011-11-23",NA,"2011-10-30","uncertain",8,7,8,0,1,13.016393442623,20,NA,"F","multi"
"508","L","F125","F123","2010-09-28","mother swells","2011-11-23",NA,"2011-10-30","uncertain",9,8,9,0,1,13.016393442623,21.016393442623,NA,"F","multi"
"515","L","F125","F123","2010-09-28","mother swells","2011-11-23",NA,"2011-10-30","uncertain",10,9,10,0,1,13.016393442623,22,NA,"F","multi"
"513","L","F125","F123","2010-09-28","mother swells","2011-11-23",NA,"2011-10-30","uncertain",11,10,11,0,1,13.016393442623,23.016393442623,NA,"F","multi"
"519","L","F130","F128","2011-06-03","mother swells","2011-12-09",NA,"2011-10-30","conservative",1,0,1,0,0,4.88524590163934,4.88524590163934,NA,"F","multi"
"528","L","F130","F128","2011-06-03","mother swells","2011-12-09",NA,"2011-10-30","conservative",2,1,2,0,1,4.88524590163934,5.9016393442623,NA,"F","multi"
"525","L","F130","F128","2011-06-03","mother swells","2011-12-09",NA,"2011-10-30","conservative",3,2,3,0,1,4.88524590163934,6.88524590163934,NA,"F","multi"
"526","L","F130","F128","2011-06-03","mother swells","2011-12-09",NA,"2011-10-30","conservative",4,3,4,0,1,4.88524590163934,7.9016393442623,NA,"F","multi"
"521","L","F130","F128","2011-06-03","mother swells","2011-12-09",NA,"2011-10-30","conservative",5,4,5,0,1,4.88524590163934,8.88524590163934,NA,"F","multi"
"529","L","F130","F128","2011-06-03","mother swells","2011-12-09",NA,"2011-10-30","conservative",6,5,6,0,1,4.88524590163934,9.86885245901639,NA,"F","multi"
"524","L","F130","F128","2011-06-03","mother swells","2011-12-09",NA,"2011-10-30","conservative",7,6,7,0,1,4.88524590163934,10.8852459016393,NA,"F","multi"
"520","L","F130","F128","2011-06-03","mother swells","2011-12-09",NA,"2011-10-30","conservative",8,7,8,0,1,4.88524590163934,11.8688524590164,NA,"F","multi"
"530","L","F130","F128","2011-06-03","mother swells","2011-12-09",NA,"2011-10-30","conservative",9,8,9,0,1,4.88524590163934,12.8852459016393,NA,"F","multi"
"527","L","F130","F128","2011-06-03","mother swells","2011-12-09",NA,"2011-10-30","conservative",10,9,10,0,1,4.88524590163934,13.8688524590164,NA,"F","multi"
"522","L","F130","F128","2011-06-03","mother swells","2011-12-09",NA,"2011-10-30","conservative",11,10,11,0,1,4.88524590163934,14.8852459016393,NA,"F","multi"
"523","L","F130","F128","2011-06-03","mother swells","2011-12-09",NA,"2011-10-30","conservative",12,11,12,0,1,4.88524590163934,15.9016393442623,NA,"F","multi"
"8","A","F4","F13","2011-09-25","mother swells","2013-03-09","2018-01-21","2013-03-01","uncertain",1,0,1,0,1,17.1475409836066,17.1475409836066,75.7377049180328,"F","multi"
"9","A","F4","F13","2011-09-25","mother swells","2013-03-09","2018-01-21","2013-03-01","uncertain",2,1,2,0,1,17.1475409836066,18.1639344262295,75.7377049180328,"F","multi"
"10","A","F4","F13","2011-09-25","mother swells","2013-03-09","2018-01-21","2013-03-01","uncertain",3,2,3,0,1,17.1475409836066,19.1475409836066,75.7377049180328,"F","multi"
"11","A","F4","F13","2011-09-25","mother swells","2013-03-09","2018-01-21","2013-03-01","uncertain",4,3,4,0,1,17.1475409836066,20.1639344262295,75.7377049180328,"F","multi"
"3","A","F4","F13","2011-09-25","mother swells","2013-03-09","2018-01-21","2013-03-01","uncertain",5,4,5,0,1,17.1475409836066,21.1475409836066,75.7377049180328,"F","multi"
"4","A","F4","F13","2011-09-25","mother swells","2013-03-09","2018-01-21","2013-03-01","uncertain",6,5,6,0,1,17.1475409836066,22.1639344262295,75.7377049180328,"F","multi"
"5","A","F4","F13","2011-09-25","mother swells","2013-03-09","2018-01-21","2013-03-01","uncertain",7,6,7,0,1,17.1475409836066,23.1803278688525,75.7377049180328,"F","multi"
"559","M","F142","F136","2007-12-14","infant death","2008-05-01","2008-05-01","2008-04-21","conservative",1,0,1,1,0,4.22950819672131,4.22950819672131,4.55737704918033,"F","multi"
"581","M","F148","F138","2010-10-18","mother swells","2011-08-30",NA,"2011-08-15","conservative",1,0,1,0,1,9.86885245901639,9.86885245901639,NA,"F","multi"
"579","M","F148","F138","2010-10-18","mother swells","2011-08-30",NA,"2011-08-15","conservative",2,1,2,0,1,9.86885245901639,10.8852459016393,NA,"F","multi"
"589","M","F148","F138","2010-10-18","mother swells","2011-08-30",NA,"2011-08-15","conservative",3,2,3,0,1,9.86885245901639,11.8688524590164,NA,"F","multi"
"600","M","F148","F138","2010-10-18","mother swells","2011-08-30",NA,"2011-08-15","conservative",4,3,4,0,1,9.86885245901639,12.8852459016393,NA,"F","multi"
"595","M","F148","F138","2010-10-18","mother swells","2011-08-30",NA,"2011-08-15","conservative",5,4,5,0,1,9.86885245901639,13.8688524590164,NA,"F","multi"
"591","M","F148","F138","2010-10-18","mother swells","2011-08-30",NA,"2011-08-15","conservative",6,5,6,0,1,9.86885245901639,14.8852459016393,NA,"F","multi"
"596","M","F148","F138","2010-10-18","mother swells","2011-08-30",NA,"2011-08-15","conservative",7,6,7,0,1,9.86885245901639,15.9016393442623,NA,"F","multi"
"587","M","F148","F138","2010-10-18","mother swells","2011-08-30",NA,"2011-08-15","conservative",8,7,8,0,1,9.86885245901639,16.8524590163934,NA,"F","multi"
"593","M","F148","F138","2010-10-18","mother swells","2011-08-30",NA,"2011-08-15","conservative",9,8,9,0,1,9.86885245901639,17.8688524590164,NA,"F","multi"
"584","M","F148","F138","2010-10-18","mother swells","2011-08-30",NA,"2011-08-15","conservative",10,9,10,0,1,9.86885245901639,18.8524590163934,NA,"F","multi"
"580","M","F148","F138","2010-10-18","mother swells","2011-08-30",NA,"2011-08-15","conservative",11,10,11,0,1,9.86885245901639,19.8688524590164,NA,"F","multi"
"583","M","F148","F138","2010-10-18","mother swells","2011-08-30",NA,"2011-08-15","conservative",12,11,12,0,1,9.86885245901639,20.8524590163934,NA,"F","multi"
"609","M","F152","F139","2010-10-05","mother swells","2011-08-30","2016-09-15","2011-08-15","conservative",1,0,1,0,1,10.2950819672131,10.2950819672131,71.2131147540984,"F","multi"
