"","Unit","Female","Infant","Date.birth","Event.end","Date.end","Date.death","Survive.24mos","Swelling.within.3mos","Latency.takeover.to.swelling","Sex.infant","Parity","Takeover","Date.takeover","ID.takeover","Age.takeover","Age.death","Dataset"
"1","A","F7","F8","2008-02-16","mother swells","2009-04-30",NA,1,"yes",15,"F","primi","Takeover","2009-04-15","TO1",13.9016393442623,NA,"conservative"
"2","M","F133","M35","2008-05-23","infant death","2008-10-22","2008-10-22",0,"no",NA,"M","multi","Takeover","2008-04-21","TO2",-1.04918032786885,4.98360655737705,"conservative"
"3","M","F160","F159","2007-07-12","mother swells","2008-05-03",NA,1,"yes",12,"F","multi","Takeover","2008-04-21","TO2",9.31147540983607,NA,"conservative"
"4","M","F155","F153","2007-10-04","infant death","2008-05-01","2008-05-01",0,"no",NA,"F","multi","Takeover","2008-04-21","TO2",6.55737704918033,6.88524590163934,"conservative"
"5","M","F142","F136","2007-12-14","infant death","2008-05-01","2008-05-01",0,"no",NA,"F","multi","Takeover","2008-04-21","TO2",4.22950819672131,4.55737704918033,"conservative"
"6","D","F63","M48","2016-03-28","mother swells","2017-02-28",NA,1,"yes",23,"M","primi","Takeover","2017-02-05","TO4",10.2950819672131,NA,"conservative"
"7","D","F67","M37","2016-04-18","mother swells","2017-02-26",NA,1,"yes",21,"M","multi","Takeover","2017-02-05","TO4",9.60655737704918,NA,"conservative"
"8","D","F68","M46","2016-03-05","mother swells","2017-02-28",NA,1,"yes",23,"M","multi","Takeover","2017-02-05","TO4",11.0491803278689,NA,"conservative"
"9","D","F74","M49","2016-02-26","mother swells","2017-02-26",NA,1,"yes",21,"M","primi","Takeover","2017-02-05","TO4",11.3114754098361,NA,"conservative"
"10","D","F69","M36","2016-06-06","mother swells","2017-02-26",NA,1,"yes",21,"M","multi","Takeover","2017-02-05","TO4",8,NA,"conservative"
"11","D","F71","F65","2015-12-25","mother swells","2017-02-26",NA,1,"yes",21,"F","multi","Takeover","2017-02-05","TO4",13.3770491803279,NA,"conservative"
"12","D","F73","F77","2016-02-25","mother swells","2017-02-26",NA,1,"yes",21,"F","primi","Takeover","2017-02-05","TO4",11.344262295082,NA,"conservative"
"13","D","F68","F71","2007-05-25","mother swells","2008-06-17",NA,1,"yes",0,"F","primi","Takeover","2008-06-17","TO6",12.7540983606557,NA,"uncertain"
"14","A","F7","M2","2011-12-28","mother swells","2013-03-09",NA,1,"yes",8,"M","multi","Takeover","2013-03-01","TO7",14.0655737704918,NA,"uncertain"
"15","A","F4","F13","2011-09-25","mother swells","2013-03-09","2018-01-21",1,"yes",8,"F","multi","Takeover","2013-03-01","TO7",17.1475409836066,75.7377049180328,"uncertain"
"16","O","F182","M108","2013-08-15","mother swells","2014-05-26",NA,1,"no",284,"M","primi","Takeover","2013-03-28","TO9",-4.59016393442623,NA,"conservative"
"17","N","F176","M99","2014-11-12","mother swells","2016-04-21",NA,1,"yes",6,"M","primi","Takeover","2016-04-15","TO10",17.0491803278689,NA,"uncertain"
"18","L","F125","F123","2010-09-28","mother swells","2011-11-23",NA,1,"yes",24,"F","multi","Takeover","2011-10-30","TO11",13.016393442623,NA,"uncertain"
