"","Unit","Date.sample","Female","Repro.State","Estrogen.ng.g","log.Estrogen","Takeover.period","ID.takeover","Date.takeover","Nb.days.relative.takeover","Infant","Age.takeover","Age.takeover.cat","Age.sample","Age.sample.cat","Laboratory","Wash.step","Avg.temperature","Cumulative.rainfall"
"1","D","2016-05-05","F63","Lac",1.07,0.0293837776852097,"before","TO4","2017-02-05",-276,"M48",10.2950819672131,"6-12 months",1.24590163934426,"0-6 months","UM","sodium azide",10.8133333333333,117.8
"2","D","2018-06-02","F63","Cyc",6.04,0.781036938621132,"after","TO4","2017-02-05",482,"M48",10.2950819672131,"6-12 months",26.0983606557377,">18 months","UM","sodium azide",9.78709677419355,235.1
"3","D","2018-06-12","F63","Cyc",13.6,1.13353890837022,"after","TO4","2017-02-05",492,"M48",10.2950819672131,"6-12 months",26.4262295081967,">18 months","UM","sodium azide",9.34838709677419,302.2
"4","D","2016-07-11","F63","Lac",1.04,0.0170333392987804,"before","TO4","2017-02-05",-209,"M48",10.2950819672131,"6-12 months",3.44262295081967,"0-6 months","UM","sodium azide",8.61666666666667,790.5
"5","D","2016-05-20","F63","Lac",1.13,0.0530784434834197,"before","TO4","2017-02-05",-261,"M48",10.2950819672131,"6-12 months",1.73770491803279,"0-6 months","UM","sodium azide",10.1233333333333,296
"6","D","2016-03-01","F71","Lac",1.04,0.0170333392987804,"before","TO4","2017-02-05",-341,"F65",13.3770491803279,"12-18 months",2.19672131147541,"0-6 months","UM","sodium azide",8.91379310344828,37.7
"7","D","2016-05-05","F71","Lac",1,0,"before","TO4","2017-02-05",-276,"F65",13.3770491803279,"12-18 months",4.32786885245902,"0-6 months","UM","sodium azide",10.8133333333333,117.8
"8","D","2016-07-07","F71","Lac",1.02,0.00860017176191757,"before","TO4","2017-02-05",-213,"F65",13.3770491803279,"12-18 months",6.39344262295082,"6-12 months","UM","sodium azide",8.86666666666667,769.5
"9","D","2018-06-12","F71","Cyc",3.5,0.544068044350276,"after","TO4","2017-02-05",492,"F65",13.3770491803279,"12-18 months",29.5081967213115,">18 months","UM","sodium azide",9.34838709677419,302.2
"10","D","2016-03-02","F73","Lac",1.66,0.220108088040055,"before","TO4","2017-02-05",-340,"F77",11.344262295082,"6-12 months",0.19672131147541,"0-6 months","UM","sodium azide",9.02758620689655,37.7
"11","D","2018-06-01","F73","Cyc",3.09,0.489958479424835,"after","TO4","2017-02-05",481,"F77",11.344262295082,"6-12 months",27.1147540983607,">18 months","UM","sodium azide",9.92903225806452,195.1
"12","D","2016-05-20","F68","Lac",1.08,0.0334237554869497,"before","TO4","2017-02-05",-261,"M46",11.0491803278689,"6-12 months",2.49180327868852,"0-6 months","UM","sodium azide",10.1233333333333,296
"13","D","2016-05-09","F73","Lac",1.2,0.0791812460476248,"before","TO4","2017-02-05",-272,"F77",11.344262295082,"6-12 months",2.42622950819672,"0-6 months","UM","sodium azide",10.5966666666667,180
"14","D","2018-05-14","F73","Cyc",5.41,0.733197265106569,"after","TO4","2017-02-05",463,"F77",11.344262295082,"6-12 months",26.5245901639344,">18 months","UM","sodium azide",10.02,98.6
"15","D","2018-05-03","F74","Cyc",33.18,1.52087638168834,"after","TO4","2017-02-05",452,"M49",11.3114754098361,"6-12 months",26.1311475409836,">18 months","UM","sodium azide",9.21666666666667,63.1
"16","D","2016-07-02","F74","Lac",1.33,0.123851640967086,"before","TO4","2017-02-05",-218,"M49",11.3114754098361,"6-12 months",4.16393442622951,"0-6 months","UM","sodium azide",9.23333333333333,664.5
"17","D","2016-05-20","F74","Lac",1.52,0.181843587944773,"before","TO4","2017-02-05",-261,"M49",11.3114754098361,"6-12 months",2.75409836065574,"0-6 months","UM","sodium azide",10.1233333333333,296
"18","D","2018-05-14","F74","Cyc",14.22,1.15289959639375,"after","TO4","2017-02-05",463,"M49",11.3114754098361,"6-12 months",26.4918032786885,">18 months","UM","sodium azide",10.02,98.6
"19","D","2016-03-01","F74","Lac",1.91,0.281033367247728,"before","TO4","2017-02-05",-341,"M49",11.3114754098361,"6-12 months",0.131147540983607,"0-6 months","UM","sodium azide",8.91379310344828,37.7
"20","D","2016-05-03","F74","Lac",2.91,0.463892988985907,"before","TO4","2017-02-05",-278,"M49",11.3114754098361,"6-12 months",2.19672131147541,"0-6 months","UM","sodium azide",10.81,105.4
"21","D","2018-06-01","F69","Cyc",3,0.477121254719662,"after","TO4","2017-02-05",481,"M36",8,"6-12 months",23.7704918032787,">18 months","UM","sodium azide",9.92903225806452,195.1
"22","D","2018-06-11","F68","Cyc",3.58,0.553883026643874,"after","TO4","2017-02-05",491,"M46",11.0491803278689,"6-12 months",27.1475409836066,">18 months","UM","sodium azide",9.34516129032258,296.2
"23","D","2016-07-07","F68","Lac",1.09,0.0374264979406237,"before","TO4","2017-02-05",-213,"M46",11.0491803278689,"6-12 months",4.0655737704918,"0-6 months","UM","sodium azide",8.86666666666667,769.5
"24","D","2016-05-03","F68","Lac",0.91,-0.0409586076789064,"before","TO4","2017-02-05",-278,"M46",11.0491803278689,"6-12 months",1.9344262295082,"0-6 months","UM","sodium azide",10.81,105.4
"25","D","2016-05-20","F71","Lac",1.3,0.113943352306837,"before","TO4","2017-02-05",-261,"F65",13.3770491803279,"12-18 months",4.81967213114754,"0-6 months","UM","sodium azide",10.1233333333333,296
"26","D","2018-06-11","F69","Cyc",2.55,0.406540180433955,"after","TO4","2017-02-05",491,"M36",8,"6-12 months",24.0983606557377,">18 months","UM","sodium azide",9.34516129032258,296.2
